term,pattern,class,framework,lo,hi,source,note
chances about even,\bchances (are )?about even\b,other_controlled,Kent 1964,0.40,0.60,kent,50% give or take about 10%
probably not,\bprobably not\b,other_controlled,Kent 1964,0.20,0.40,kent,30% give or take about 10%
almost certainly not,\balmost certainly not\b,other_controlled,Kent 1964,0.02,0.12,kent,7% give or take about 5%
impossible,\bimpossible\b,other_controlled,Kent 1964,0,0,kent,
may,\bmay\b(?! 20\d\d),uncontrolled,,,,corpus,exclude the month: case-sensitive (lower-case may) and not followed by a year
might,\bmight\b,uncontrolled,,,,corpus,
could,\bcould\b,uncontrolled,,,,corpus,
possible,\bpossibl[ey]\b,uncontrolled,,,,corpus,
possibility,\b(a |the )?possibility\b,uncontrolled,,,,corpus,"after ""realistic possibility"" is excluded"
plausible,\bplausibl[ey]\b,uncontrolled,,,,corpus,
potentially,\bpotentially\b,uncontrolled,,,,corpus,
expected to,\bexpect(s|ed)? to\b,uncontrolled,,,,corpus,
best estimate,\bbest estimates?\b,uncontrolled,,,,corpus,216 uses; mostly R and growth-rate ranges
central estimate,\bcentral estimates?\b,uncontrolled,,,,corpus,
best guess,\bbest guess\b,uncontrolled,,,,corpus,not found in the corpus; kept because the issue names it
suggests,\bsuggests?\b,uncontrolled,,,,corpus,"includes ""the evidence suggests"", which is GRADE low certainty"
appears to,\b(appears?|seems?) to\b,uncontrolled,,,,corpus,
indicates,\bindicates?\b,uncontrolled,,,,corpus,
cannot be ruled out,\bcannot be (ruled out|excluded)\b,uncontrolled,,,,corpus,
we believe,\bwe believe\b,uncontrolled,,,,fagen2019,survey median 75%
we doubt,\bwe doubt\b,uncontrolled,,,,fagen2019,survey median 20%
better than even,\bbetter than even\b,uncontrolled,,,,fagen2019,survey median 60%
very good chance,\bvery good chance\b,uncontrolled,,,,fagen2019,survey median 80%
little chance,\blittle chance\b,uncontrolled,,,,fagen2019,survey median 10%
chances are slight,\bchances are slight\b,uncontrolled,,,,fagen2019,survey median 10%
high confidence,\bhigh(ly)? confiden(ce|t)\b,confidence,PHIA / IPCC / ICD 203,,,phia;ipcc;icd203,
moderate confidence,\b(moderate|medium) confidence\b,confidence,PHIA / IPCC / ICD 203,,,phia;ipcc;icd203,IPCC says medium; PHIA and ICD 203 say moderate
low confidence,\blow confidence\b,confidence,PHIA / IPCC / ICD 203,,,phia;ipcc;icd203,
very high confidence,\bvery high confidence\b,confidence,IPCC AR5,,,ipcc,
very low confidence,\bvery low confidence\b,confidence,IPCC AR5,,,ipcc,
limited evidence,\blimited evidence\b,confidence,IPCC AR5,,,ipcc,IPCC evidence summary term
medium evidence,\bmedium evidence\b,confidence,IPCC AR5,,,ipcc,
robust evidence,\b(robust|strong) evidence\b,confidence,IPCC AR5,,,ipcc;corpus,"""strong evidence"" is the corpus wording (9 uses)"
agreement,\b(low|medium|high) agreement\b,confidence,IPCC AR5,,,ipcc,
confident,\b(is|are|remains?|not) confident\b,confidence,,,,corpus,"""SPI-M-O is confident that"" (55 uses of confident)"
data are limited,\b(data|evidence) (are|is|remain) (limited|sparse|scarce)\b,confidence,,,,corpus,
uncertain,\b(highly |very |remains? )?uncertain\b,confidence,,,,corpus,
very uncertain,\bthe evidence is very uncertain\b,confidence,GRADE,,,grade,very low certainty
probably reduces,\b(likely|probably) (reduces|increases|results in)\b,confidence,GRADE,,,grade,moderate certainty; the words collide with PHIA likely/probably
may reduce,\bmay (reduce|increase|result in)\b,confidence,GRADE,,,grade,low certainty; the word collides with uncontrolled may
